,title,sector,website,phoneNumber,address
0,Pacific Networks,,pacnetworks.com,+1 503-645-4000,"8900 SW Burnham St # E23, Tigard, OR 97223, United States"
1,TMG Property Management Services NW Portland Oregon,Property management company,tmgnorthwest.com,+1 503-718-5600,"15350 SW Sequoia Pkwy Ste 200A, Portland, OR 97224, United States"
2,The House,Gym,thehousepdx.com,+1 971-235-0190,"16285 SW 85th Ave Suite 108, Tigard, OR 97224, United States"
3,Justin Myers Photography,Photographer,myersphoto.com,+1 971-998-8953,
4,Total Refresh Cleaning,House cleaning service,totalrefreshcleaning.com,+1 503-683-3775,
5,Merry Maids of Greater Portland,House cleaning service,merrymaids.com,+1 503-925-5086,"5775 South Jean Rd Suite #106, Lake Oswego, OR 97035, United States"
6,Rewire Inc.,Business management consultant,rewireinc.com,+1 503-741-2288,"1270 Parrish St suite a, Lake Oswego, OR 97034, United States"
7,Sterling Communications,Internet service provider,sterling.net,+1 503-968-8908,"14945 SW Sequoia Pkwy, Portland, OR 97224, United States"
8,Viking Bolt Inc,Wholesaler,vikingbolt.com,+1 503-620-3400,"7319 SW Kable Ln # 900, Portland, OR 97224, United States"
9,Howell Fence Inc.,General contractor,howellfencing.com,+1 503-997-7676,"8685 SW Inez St, Tigard, OR 97224, United States"
10,Excel Orthodontics Inc,Dental laboratory,excelorthodontics.com,+1 971-249-0261,"15995 SW 74th Ave #150, Portland, OR 97224, United States"
11,Pixelworks Inc,Construction,pixelworks.com,+1 503-601-4545,"16760 SW Upper Boones Ferry Rd #101, Portland, OR 97224, United States"
12,Skin Aesthetics and Laser,Medical spa,skinaestheticsandlaser.com,+1 503-407-5716,"18029 SW Lower Boones Ferry Rd, Tigard, OR 97224, United States"
13,"J Curtis Carpet Cleaning Inc | Carpet Repair, Carpet Cleaner, Carpet Repair Service in Tigard OR",Carpet cleaning service,jccarpetservice.com,+1 503-246-0989,
14,Fought & Company Inc.,Steel fabricator,foughtsteel.com,+1 503-639-3141,"14255 SW 72nd Ave, Tigard, OR 97224, United States"
15,Dublin Pub,Pub,dublinpubpdx.com,+1 503-297-2889,"6821 SW Beaverton Hillsdale Hwy, Portland, OR 97225, United States"
16,Mountain Top Practice Transitions,Consultant,mountaintoppracticetransitions.com,+1 503-701-6697,
17,Fidelity Investments,Investment service,fidelity.com,+1 800-922-4307,"7493 SW Bridgeport Rd, Tigard, OR 97224, United States"
18,Portline Web Site Builders,Website designer,portline.com,+1 503-924-5999,"15685 SW 116th Ave STE 154, Portland, OR 97224, United States"
19,"Rogers Machinery Company, Inc.",Industrial equipment supplier,rogers-machinery.com,+1 503-639-0808,"14650 SW 72nd Ave, Portland, OR 97224, United States"
20,"Pro AutoTech, Inc.",Auto repair shop,proautotechinc.com,+1 503-620-3719,"16285 SW 85th Ave #308, Tigard, OR 97224, United States"
21,MassMutual Oregon,Financial planner,oregon.massmutual.com,+1 503-221-1211,"5885 Meadows Rd Suite 850, Lake Oswego, OR 97035, United States"
22,Timberline Apartments,Apartment complex,wplassociates.com,+1 503-624-7044,"14799 SW 109th Ave, Tigard, OR 97224, United States"
23,Protect Glove Co,Medical supply store,protectgloveinc.com,+1 503-590-3449,"16285 SW 85th Ave #304, Tigard, OR 97224, United States"
24,Financial Investment Team,Financial planner,fi-team.com,+1 503-906-5205,"15350 SW Sequoia Pkwy #150, Portland, OR 97224, United States"
25,"Sum It Up Bookkeeping & Accounting, LLC",Bookkeeping service,sumitupba.com,+1 503-939-0581,
26,PNG Environmental Inc,Engineering consultant,pngenv.com,+1 503-620-2387,"6665 SW Hampton St #101, Portland, OR 97223, United States"
27,Peter's Auto Works,Auto repair shop,petersautoworks.com,+1 503-684-3188,"15787 SW 72nd Ave, Tigard, OR 97224, United States"
28,Contract Furnishings Mart,Flooring store,cfmfloors.com,+1 503-542-8900,"14160 SW 72nd Ave #110, Tigard, OR 97224, United States"
29,"Precision Packaging Products, Inc.",Plastic fabrication company,precisionpkg.us,+1 503-684-0384,"16240 SW 72nd Ave, Tigard, OR 97224, United States"
30,"Your Business Counts, Inc.",Tax preparation service,yourbusinesscounts.com,+1 503-601-4520,"15405 SW 116th Ave #202, Tigard, OR 97224, United States"
